corr,rt,block_type,trial_type
1.0,1.4395,step1,practice
1.0,0.7082,step1,practice
1.0,0.7644,step1,practice
1.0,0.7451,step1,practice
1.0,0.6618,step1,practice
0.0,0.9019,step1,practice
0.0,1.0982,step1,practice
1.0,0.8893,step1,practice
1.0,0.7969,step1,practice
1.0,0.5403,step1,practice
1.0,0.4473,step1,practice
1.0,0.6833,step1,practice
1.0,0.5009,step1,practice
1.0,0.5705,step1,practice
1.0,0.7425,step1,practice
1.0,0.5198,step1,practice
1.0,0.6241,step1,practice
1.0,0.4715,step1,practice
1.0,0.5436,step1,practice
1.0,0.493,step1,practice
1.0,1.2816,step2,practice
1.0,1.1591,step2,practice
1.0,1.0854,step2,practice
1.0,0.7906,step2,practice
1.0,0.6742,step2,practice
1.0,0.6984,step2,practice
1.0,0.5832,step2,practice
1.0,0.5382,step2,practice
1.0,0.6524,step2,practice
1.0,0.5171,step2,practice
1.0,0.4383,step2,practice
1.0,0.4744,step2,practice
1.0,0.6409,step2,practice
0.0,0.6618,step2,practice
1.0,0.8946,step2,practice
1.0,0.5661,step2,practice
1.0,0.715,step2,practice
1.0,0.9159,step2,practice
1.0,0.5482,step2,practice
1.0,0.5239,step2,practice
1.0,0.6118,step3,practice
0.0,0.4895,step3,practice
1.0,0.6507,step3,practice
1.0,0.9038,step3,practice
1.0,0.5877,step3,practice
1.0,0.8158,step3,practice
1.0,0.5157,step3,practice
1.0,0.4819,step3,practice
1.0,1.0151,step3,practice
1.0,0.5647,step3,practice
1.0,0.7377,step3,practice
1.0,0.4304,step3,practice
1.0,0.6179,step3,practice
1.0,0.6494,step3,practice
1.0,0.545,step3,practice
1.0,0.5456,step3,practice
1.0,1.1225,step3,practice
1.0,0.4876,step3,practice
1.0,0.6133,step3,practice
1.0,0.5804,step3,practice
1.0,0.6436,step3,test
1.0,0.6003,step3,test
1.0,0.6755,step3,test
1.0,0.5025,step3,test
1.0,0.441,step3,test
1.0,0.5075,step3,test
1.0,0.5248,step3,test
1.0,0.6819,step3,test
1.0,0.5867,step3,test
1.0,0.6749,step3,test
1.0,0.5538,step3,test
1.0,0.3849,step3,test
1.0,0.5105,step3,test
1.0,0.6182,step3,test
1.0,0.4961,step3,test
1.0,0.5373,step3,test
1.0,0.8136,step3,test
1.0,0.5734,step3,test
1.0,0.604,step3,test
1.0,0.676,step3,test
1.0,0.6761,step3,test
1.0,0.5026,step3,test
1.0,0.5172,step3,test
1.0,0.6861,step3,test
1.0,0.52,step3,test
1.0,0.6249,step3,test
1.0,0.4538,step3,test
1.0,0.5662,step3,test
1.0,0.494,step3,test
1.0,0.5655,step3,test
1.0,0.5959,step3,test
1.0,0.7128,step3,test
1.0,0.7264,step3,test
1.0,0.6239,step3,test
1.0,0.6511,step3,test
1.0,0.5426,step3,test
0.0,0.564,step3,test
1.0,1.8616,step3,test
1.0,0.5691,step3,test
1.0,0.705,step3,test
1.0,0.4014,step4,practice
1.0,0.4974,step4,practice
1.0,0.6059,step4,practice
1.0,0.517,step4,practice
1.0,0.5426,step4,practice
1.0,0.5088,step4,practice
1.0,0.6257,step4,practice
1.0,0.5641,step4,practice
1.0,0.791,step4,practice
1.0,0.4247,step4,practice
1.0,0.4835,step4,practice
1.0,0.4126,step4,practice
1.0,0.571,step4,practice
1.0,0.5537,step4,practice
1.0,0.6513,step4,practice
1.0,0.5722,step4,practice
1.0,0.6089,step4,practice
1.0,0.8764,step4,practice
1.0,0.6354,step4,practice
1.0,0.7124,step4,practice
1.0,0.7252,step5,practice
1.0,0.7697,step5,practice
1.0,0.8161,step5,practice
1.0,0.5691,step5,practice
1.0,0.5417,step5,practice
0.0,0.5674,step5,practice
1.0,0.7491,step5,practice
1.0,0.604,step5,practice
0.0,0.8412,step5,practice
1.0,0.8196,step5,practice
1.0,1.1174,step5,practice
1.0,0.646,step5,practice
1.0,0.6841,step5,practice
1.0,0.4864,step5,practice
0.0,0.7893,step5,practice
1.0,1.055,step5,practice
0.0,0.6179,step5,practice
1.0,0.8637,step5,practice
1.0,0.6512,step5,practice
1.0,0.6269,step5,practice
1.0,0.7841,step5,test
1.0,0.8935,step5,test
1.0,0.59,step5,test
1.0,0.4545,step5,test
1.0,0.818,step5,test
1.0,0.7944,step5,test
1.0,1.1953,step5,test
1.0,0.7802,step5,test
1.0,0.7217,step5,test
1.0,0.646,step5,test
1.0,0.5819,step5,test
1.0,0.6228,step5,test
1.0,0.646,step5,test
1.0,0.6758,step5,test
1.0,0.5439,step5,test
0.0,0.7165,step5,test
1.0,1.0003,step5,test
0.0,0.6696,step5,test
1.0,1.9929,step5,test
1.0,0.817,step5,test
1.0,0.7514,step5,test
1.0,0.5384,step5,test
1.0,0.6644,step5,test
1.0,0.5944,step5,test
1.0,0.7918,step5,test
1.0,1.1027,step5,test
1.0,0.7348,step5,test
1.0,0.6905,step5,test
1.0,1.0235,step5,test
1.0,1.3097,step5,test
1.0,0.8619,step5,test
0.0,0.6875,step5,test
1.0,0.743,step5,test
1.0,0.7283,step5,test
1.0,0.896,step5,test
1.0,0.5822,step5,test
1.0,0.6826,step5,test
1.0,1.081,step5,test
1.0,0.7378,step5,test
0.0,0.7841,step5,test
