corr,rt,block_type,trial_type
1.0,0.7093,step1,practice
1.0,0.6651,step1,practice
1.0,0.6302,step1,practice
1.0,0.5643,step1,practice
1.0,0.642,step1,practice
1.0,0.5287,step1,practice
1.0,0.703,step1,practice
1.0,0.649,step1,practice
1.0,0.8876,step1,practice
1.0,0.6883,step1,practice
1.0,0.6557,step1,practice
1.0,0.6297,step1,practice
1.0,0.5603,step1,practice
1.0,0.7183,step1,practice
1.0,0.4966,step1,practice
1.0,0.5846,step1,practice
1.0,0.5831,step1,practice
1.0,0.5345,step1,practice
0.0,1.0986,step1,practice
1.0,0.994,step1,practice
0.0,0.6589,step4,practice
1.0,0.9558,step4,practice
1.0,0.6655,step4,practice
1.0,0.6006,step4,practice
1.0,0.7432,step4,practice
1.0,0.445,step4,practice
1.0,0.6371,step4,practice
1.0,0.5292,step4,practice
1.0,0.4969,step4,practice
1.0,0.7446,step4,practice
1.0,0.5339,step4,practice
1.0,0.872,step4,practice
1.0,1.0377,step4,practice
1.0,0.6494,step4,practice
1.0,0.58,step4,practice
1.0,0.503,step4,practice
0.0,0.7237,step4,practice
1.0,1.317,step4,practice
1.0,0.4827,step4,practice
1.0,0.7007,step4,practice
1.0,0.824,step5,practice
1.0,0.767,step5,practice
1.0,0.7436,step5,practice
1.0,0.8648,step5,practice
1.0,0.6818,step5,practice
1.0,1.0986,step5,practice
0.0,1.1282,step5,practice
1.0,0.9824,step5,practice
1.0,0.8039,step5,practice
0.0,1.3099,step5,practice
1.0,1.1053,step5,practice
1.0,0.7654,step5,practice
1.0,1.3519,step5,practice
1.0,0.7453,step5,practice
1.0,0.9109,step5,practice
1.0,0.9568,step5,practice
1.0,0.9933,step5,practice
1.0,0.8381,step5,practice
1.0,1.045,step5,practice
1.0,0.8273,step5,practice
1.0,0.7402,step5,test
1.0,0.9904,step5,test
1.0,0.8951,step5,test
1.0,0.707,step5,test
1.0,0.6902,step5,test
1.0,1.0607,step5,test
1.0,0.6688,step5,test
1.0,0.5322,step5,test
1.0,0.6928,step5,test
1.0,0.5375,step5,test
1.0,0.5882,step5,test
1.0,0.8833,step5,test
1.0,0.6256,step5,test
1.0,0.7495,step5,test
1.0,0.5836,step5,test
1.0,0.9148,step5,test
1.0,0.5633,step5,test
1.0,0.6595,step5,test
1.0,0.6402,step5,test
1.0,0.7365,step5,test
1.0,1.0071,step5,test
0.0,1.3419,step5,test
1.0,1.1954,step5,test
0.0,1.1415,step5,test
1.0,0.9088,step5,test
1.0,0.7065,step5,test
1.0,0.5916,step5,test
1.0,0.8147,step5,test
1.0,0.6989,step5,test
1.0,0.6602,step5,test
1.0,1.1082,step5,test
1.0,1.0449,step5,test
1.0,0.9818,step5,test
1.0,1.4188,step5,test
1.0,0.6866,step5,test
1.0,1.2021,step5,test
1.0,0.8736,step5,test
1.0,0.909,step5,test
1.0,0.5659,step5,test
1.0,0.766,step5,test
0.0,0.7909,step2,practice
1.0,0.8487,step2,practice
1.0,0.7913,step2,practice
1.0,0.6147,step2,practice
1.0,1.0699,step2,practice
1.0,0.9132,step2,practice
1.0,0.6894,step2,practice
1.0,0.6702,step2,practice
1.0,0.6511,step2,practice
1.0,0.5863,step2,practice
1.0,1.0075,step2,practice
1.0,0.5334,step2,practice
1.0,0.5912,step2,practice
1.0,0.7584,step2,practice
1.0,0.7652,step2,practice
1.0,0.5503,step2,practice
1.0,0.6335,step2,practice
1.0,0.4683,step2,practice
1.0,0.4905,step2,practice
1.0,0.4426,step2,practice
1.0,0.4816,step3,practice
1.0,0.8731,step3,practice
1.0,0.6704,step3,practice
1.0,0.6812,step3,practice
1.0,0.6423,step3,practice
1.0,0.5267,step3,practice
1.0,0.5605,step3,practice
1.0,0.8805,step3,practice
1.0,0.5598,step3,practice
1.0,0.6822,step3,practice
1.0,0.4851,step3,practice
1.0,0.4494,step3,practice
1.0,0.5257,step3,practice
1.0,0.5258,step3,practice
1.0,0.6427,step3,practice
1.0,0.5113,step3,practice
1.0,0.8926,step3,practice
1.0,0.4273,step3,practice
1.0,0.5003,step3,practice
1.0,0.3318,step3,practice
1.0,0.6758,step3,test
1.0,0.6131,step3,test
1.0,0.5553,step3,test
1.0,0.4825,step3,test
1.0,0.5244,step3,test
1.0,0.6735,step3,test
1.0,0.4861,step3,test
1.0,0.5665,step3,test
1.0,0.7166,step3,test
1.0,0.5337,step3,test
1.0,0.5437,step3,test
1.0,0.5029,step3,test
1.0,0.8345,step3,test
1.0,0.5543,step3,test
1.0,0.6094,step3,test
1.0,0.4958,step3,test
1.0,0.486,step3,test
1.0,0.4914,step3,test
1.0,0.5182,step3,test
1.0,0.5513,step3,test
1.0,0.4571,step3,test
1.0,0.6035,step3,test
1.0,0.5771,step3,test
1.0,0.6516,step3,test
1.0,0.5108,step3,test
1.0,0.7009,step3,test
1.0,0.6571,step3,test
1.0,0.6757,step3,test
1.0,0.5143,step3,test
1.0,0.675,step3,test
1.0,0.3232,step3,test
1.0,0.5899,step3,test
1.0,0.507,step3,test
1.0,0.5861,step3,test
1.0,0.5656,step3,test
1.0,0.7326,step3,test
1.0,0.5828,step3,test
1.0,0.7603,step3,test
1.0,0.8367,step3,test
0.0,0.6397,step3,test
