corr,rt,block_type,trial_type
1.0,0.5800911999999698,step1,practice
1.0,1.010176000000229,step1,practice
1.0,0.7137296000000788,step1,practice
1.0,0.6845580999997765,step1,practice
1.0,0.6375496999999086,step1,practice
1.0,0.598522100000082,step1,practice
1.0,0.6260148000001209,step1,practice
1.0,0.4805073000002267,step1,practice
1.0,0.5550176000001557,step1,practice
1.0,0.4459569999999075,step1,practice
1.0,0.4488500000002204,step1,practice
1.0,0.4044639000003371,step1,practice
1.0,0.4513958999996248,step1,practice
1.0,0.5645244000002094,step1,practice
1.0,0.4346922999998241,step1,practice
1.0,0.4284215000002405,step1,practice
1.0,0.5651483000001463,step1,practice
1.0,0.5483997000001182,step1,practice
1.0,0.5492251000000579,step1,practice
1.0,0.5221673999999439,step1,practice
1.0,0.6479458999997405,step4,practice
1.0,0.8542339999999058,step4,practice
1.0,0.910898999999972,step4,practice
1.0,0.7843901999999616,step4,practice
1.0,0.8046669999998812,step4,practice
1.0,0.745833599999969,step4,practice
1.0,0.514052300000003,step4,practice
1.0,0.5348689999996168,step4,practice
1.0,0.5782058999998299,step4,practice
1.0,0.5748599999997168,step4,practice
1.0,0.45878730000004,step4,practice
1.0,0.4936030999997456,step4,practice
1.0,0.5115121999997427,step4,practice
1.0,0.5719333999995797,step4,practice
1.0,0.5553336999996645,step4,practice
1.0,0.5732287999999244,step4,practice
1.0,0.7438245000003008,step4,practice
1.0,0.4893009999996138,step4,practice
1.0,0.5850008000002163,step4,practice
1.0,0.7107636000000639,step4,practice
1.0,1.35984580000013,step5,practice
1.0,1.0887971000001926,step5,practice
1.0,0.7193641000003481,step5,practice
1.0,0.6417890000002444,step5,practice
1.0,1.3705074999998033,step5,practice
1.0,0.5483464000003551,step5,practice
1.0,0.6991421000002447,step5,practice
1.0,0.6293154999998478,step5,practice
1.0,0.6629766999999447,step5,practice
1.0,0.5922604000002138,step5,practice
1.0,0.5685518999998749,step5,practice
1.0,1.2309599999998682,step5,practice
1.0,0.7974291999998968,step5,practice
1.0,0.9527453000000604,step5,practice
1.0,1.6824508999998216,step5,practice
1.0,1.148954700000104,step5,practice
1.0,0.7954702000001816,step5,practice
1.0,0.5988870000001043,step5,practice
1.0,0.8069402000000991,step5,practice
1.0,1.314363299999968,step5,practice
1.0,1.2661599999996724,step5,test
1.0,0.7908431999999266,step5,test
1.0,0.8865287999997236,step5,test
1.0,0.8154927999999018,step5,test
1.0,1.156567600000017,step5,test
1.0,0.6790310000001227,step5,test
1.0,0.8279036999997516,step5,test
1.0,1.29093069999999,step5,test
1.0,0.7487961000001633,step5,test
1.0,0.8104103000000578,step5,test
1.0,1.272727600000053,step5,test
1.0,0.7274478999997882,step5,test
1.0,0.9794038,step5,test
1.0,0.8875460999997813,step5,test
1.0,0.9686618999999156,step5,test
1.0,0.6733627000003253,step5,test
1.0,1.1161228999999366,step5,test
1.0,0.5867624000002252,step5,test
1.0,0.7529968999997436,step5,test
1.0,0.6589646000002176,step5,test
1.0,1.0403670000000602,step5,test
1.0,0.5262849999999162,step5,test
1.0,0.6385631000002832,step5,test
1.0,0.5792673999999352,step5,test
1.0,0.9150171999999656,step5,test
1.0,0.5547768999999789,step5,test
1.0,0.4954140999998344,step5,test
1.0,0.7379549999996016,step5,test
1.0,0.6730772000000798,step5,test
1.0,0.6642844000002697,step5,test
1.0,0.7622842000000674,step5,test
1.0,0.5797606000000997,step5,test
1.0,0.7136034000000109,step5,test
1.0,0.735673499999848,step5,test
1.0,0.62330350000002,step5,test
1.0,0.6196204999996553,step5,test
1.0,0.5619391000000178,step5,test
1.0,0.7075761999999486,step5,test
1.0,0.7589842000002136,step5,test
1.0,0.6680728999999701,step5,test
1.0,0.6709334000001945,step2,practice
1.0,0.621135299999878,step2,practice
1.0,0.522015100000317,step2,practice
1.0,0.6780420000000049,step2,practice
1.0,0.867133400000057,step2,practice
1.0,0.4650438000003305,step2,practice
1.0,0.4862918999997419,step2,practice
1.0,0.5940152999996826,step2,practice
1.0,0.6565097999996397,step2,practice
1.0,0.5471702999998342,step2,practice
1.0,0.5053360000001703,step2,practice
1.0,0.482977000000119,step2,practice
1.0,0.4432048000003306,step2,practice
1.0,0.4565832000002956,step2,practice
1.0,0.8031249000000571,step2,practice
1.0,0.4570063000001028,step2,practice
1.0,0.5113880000003519,step2,practice
1.0,0.6138906999999563,step2,practice
1.0,0.5556320000000596,step2,practice
1.0,0.5054781999997431,step2,practice
1.0,0.7376056999996763,step3,practice
1.0,0.807988099999875,step3,practice
1.0,0.5795905999998467,step3,practice
1.0,0.9322987999998986,step3,practice
1.0,0.9698859000000084,step3,practice
1.0,0.692685800000163,step3,practice
1.0,0.6735794999999598,step3,practice
1.0,0.6313888999998198,step3,practice
1.0,0.7021347999998397,step3,practice
1.0,0.4790563999999904,step3,practice
1.0,0.6085262999999941,step3,practice
1.0,0.7832865000000311,step3,practice
1.0,0.6381627000000663,step3,practice
1.0,0.6576164999996763,step3,practice
1.0,0.6630255999998553,step3,practice
1.0,0.5838364000001093,step3,practice
1.0,0.4202220999995916,step3,practice
1.0,0.4565150000003086,step3,practice
1.0,0.392159300000003,step3,practice
0.0,0.4318075000001045,step3,practice
1.0,0.8862264999997933,step3,test
1.0,0.6896632999996655,step3,test
1.0,0.6570890999996664,step3,test
1.0,0.6946778000001359,step3,test
1.0,0.5841961999999512,step3,test
1.0,0.5205124999997679,step3,test
1.0,0.7799934999998186,step3,test
1.0,0.7632117000002836,step3,test
1.0,0.7221703000000161,step3,test
1.0,0.8584686999997757,step3,test
1.0,0.7217359999999644,step3,test
1.0,0.5544017999995958,step3,test
1.0,0.6530557999999473,step3,test
1.0,0.5281577000000652,step3,test
1.0,0.633549099999982,step3,test
1.0,6.378169800000251,step3,test
1.0,1.6541243000001489,step3,test
1.0,0.7932091999996373,step3,test
1.0,0.5826732000000447,step3,test
1.0,0.7120258999998441,step3,test
